"","X","code","date","cumulative_cases","cumulative_deaths","daily_cases","daily_deaths","state_name","pop_density","pop_count","region_census_sub_revised","region_code"
"104",104,"AK","2020-05-14",NA,NA,4,0,"Alaska",1,738432,"Pacific",6
"105",105,"AK","2020-05-15",NA,NA,0,0,"Alaska",1,738432,"Pacific",6
"106",106,"AK","2020-05-16",NA,NA,0,0,"Alaska",1,738432,"Pacific",6
"107",107,"AK","2020-05-17",NA,NA,9,0,"Alaska",1,738432,"Pacific",6
"108",108,"AK","2020-05-18",NA,NA,3,0,"Alaska",1,738432,"Pacific",6
"109",109,"AK","2020-05-19",NA,NA,0,0,"Alaska",1,738432,"Pacific",6
"110",110,"AK","2020-05-20",NA,NA,2,0,"Alaska",1,738432,"Pacific",6
"111",111,"AK","2020-05-21",NA,NA,0,0,"Alaska",1,738432,"Pacific",6
"112",112,"AK","2020-05-22",NA,NA,2,0,"Alaska",1,738432,"Pacific",6
"113",113,"AK","2020-05-23",NA,NA,4,0,"Alaska",1,738432,"Pacific",6
"114",114,"AK","2020-05-24",NA,NA,0,0,"Alaska",1,738432,"Pacific",6
"115",115,"AK","2020-05-25",NA,NA,1,0,"Alaska",1,738432,"Pacific",6
"116",116,"AK","2020-05-26",NA,NA,2,0,"Alaska",1,738432,"Pacific",6
"117",117,"AK","2020-05-27",NA,NA,1,0,"Alaska",1,738432,"Pacific",6
"118",118,"AK","2020-05-28",NA,NA,13,0,"Alaska",1,738432,"Pacific",6
"119",119,"AK","2020-05-29",NA,NA,5,0,"Alaska",1,738432,"Pacific",6
"120",120,"AK","2020-05-30",NA,NA,4,0,"Alaska",1,738432,"Pacific",6
"121",121,"AK","2020-05-31",NA,NA,26,0,"Alaska",1,738432,"Pacific",6
"122",122,"AK","2020-06-01",NA,NA,7,0,"Alaska",1,738432,"Pacific",6
"123",123,"AK","2020-06-02",NA,NA,20,0,"Alaska",1,738432,"Pacific",6
"124",124,"AK","2020-06-03",NA,NA,18,0,"Alaska",1,738432,"Pacific",6
"125",125,"AK","2020-06-04",NA,NA,8,0,"Alaska",1,738432,"Pacific",6
"126",126,"AK","2020-06-05",NA,NA,11,0,"Alaska",1,738432,"Pacific",6
"127",127,"AK","2020-06-06",NA,NA,12,0,"Alaska",1,738432,"Pacific",6
"128",128,"AK","2020-06-07",NA,NA,8,0,"Alaska",1,738432,"Pacific",6
"129",129,"AK","2020-06-08",NA,NA,19,0,"Alaska",1,738432,"Pacific",6
"130",130,"AK","2020-06-09",NA,NA,10,1,"Alaska",1,738432,"Pacific",6
"131",131,"AK","2020-06-10",NA,NA,20,0,"Alaska",1,738432,"Pacific",6
"132",132,"AK","2020-06-11",NA,NA,17,0,"Alaska",1,738432,"Pacific",6
"133",133,"AK","2020-06-12",NA,NA,15,1,"Alaska",1,738432,"Pacific",6
"134",134,"AK","2020-06-13",NA,NA,27,0,"Alaska",1,738432,"Pacific",6
"135",135,"AK","2020-06-14",NA,NA,9,0,"Alaska",1,738432,"Pacific",6
"136",136,"AK","2020-06-15",NA,NA,3,0,"Alaska",1,738432,"Pacific",6
"137",137,"AK","2020-06-16",NA,NA,12,0,"Alaska",1,738432,"Pacific",6
"138",138,"AK","2020-06-17",NA,NA,20,0,"Alaska",1,738432,"Pacific",6
"139",139,"AK","2020-06-18",NA,NA,12,0,"Alaska",1,738432,"Pacific",6
"140",140,"AK","2020-06-19",NA,NA,13,0,"Alaska",1,738432,"Pacific",6
"141",141,"AK","2020-06-20",NA,NA,21,0,"Alaska",1,738432,"Pacific",6
"142",142,"AK","2020-06-21",NA,NA,11,0,"Alaska",1,738432,"Pacific",6
"143",143,"AK","2020-06-22",NA,NA,6,0,"Alaska",1,738432,"Pacific",6
"144",144,"AK","2020-06-23",NA,NA,0,0,"Alaska",1,738432,"Pacific",6
"145",145,"AK","2020-06-24",NA,NA,0,0,"Alaska",1,738432,"Pacific",6
"146",146,"AK","2020-06-25",NA,NA,25,0,"Alaska",1,738432,"Pacific",6
"147",147,"AK","2020-06-26",NA,NA,51,0,"Alaska",1,738432,"Pacific",6
"148",148,"AK","2020-06-27",NA,NA,0,0,"Alaska",1,738432,"Pacific",6
"149",149,"AK","2020-06-28",NA,NA,41,0,"Alaska",1,738432,"Pacific",6
"150",150,"AK","2020-06-29",NA,NA,24,0,"Alaska",1,738432,"Pacific",6
"151",151,"AK","2020-06-30",NA,NA,32,0,"Alaska",1,738432,"Pacific",6
"152",152,"AL","2020-02-01",NA,NA,0,0,"Alabama",95,4858979,"Southern Appalachia",1
"153",153,"AL","2020-02-02",NA,NA,0,0,"Alabama",95,4858979,"Southern Appalachia",1
"154",154,"AL","2020-02-03",NA,NA,0,0,"Alabama",95,4858979,"Southern Appalachia",1
"155",155,"AL","2020-02-04",NA,NA,0,0,"Alabama",95,4858979,"Southern Appalachia",1
"156",156,"AL","2020-02-05",NA,NA,0,0,"Alabama",95,4858979,"Southern Appalachia",1
"157",157,"AL","2020-02-06",NA,NA,0,0,"Alabama",95,4858979,"Southern Appalachia",1
"158",158,"AL","2020-02-07",NA,NA,0,0,"Alabama",95,4858979,"Southern Appalachia",1
"159",159,"AL","2020-02-08",NA,NA,0,0,"Alabama",95,4858979,"Southern Appalachia",1
"160",160,"AL","2020-02-09",NA,NA,0,0,"Alabama",95,4858979,"Southern Appalachia",1
"161",161,"AL","2020-02-10",NA,NA,0,0,"Alabama",95,4858979,"Southern Appalachia",1
"162",162,"AL","2020-02-11",NA,NA,0,0,"Alabama",95,4858979,"Southern Appalachia",1
"163",163,"AL","2020-02-12",NA,NA,0,0,"Alabama",95,4858979,"Southern Appalachia",1
"164",164,"AL","2020-02-13",NA,NA,0,0,"Alabama",95,4858979,"Southern Appalachia",1
"165",165,"AL","2020-02-14",NA,NA,0,0,"Alabama",95,4858979,"Southern Appalachia",1
"166",166,"AL","2020-02-15",NA,NA,0,0,"Alabama",95,4858979,"Southern Appalachia",1
"167",167,"AL","2020-02-16",NA,NA,0,0,"Alabama",95,4858979,"Southern Appalachia",1
"168",168,"AL","2020-02-17",NA,NA,0,0,"Alabama",95,4858979,"Southern Appalachia",1
"169",169,"AL","2020-02-18",NA,NA,0,0,"Alabama",95,4858979,"Southern Appalachia",1
"170",170,"AL","2020-02-19",NA,NA,0,0,"Alabama",95,4858979,"Southern Appalachia",1
"171",171,"AL","2020-02-20",NA,NA,0,0,"Alabama",95,4858979,"Southern Appalachia",1
"172",172,"AL","2020-02-21",NA,NA,0,0,"Alabama",95,4858979,"Southern Appalachia",1
"173",173,"AL","2020-02-22",NA,NA,0,0,"Alabama",95,4858979,"Southern Appalachia",1
"174",174,"AL","2020-02-23",NA,NA,0,0,"Alabama",95,4858979,"Southern Appalachia",1
"175",175,"AL","2020-02-24",NA,NA,0,0,"Alabama",95,4858979,"Southern Appalachia",1
"176",176,"AL","2020-02-25",NA,NA,0,0,"Alabama",95,4858979,"Southern Appalachia",1
"177",177,"AL","2020-02-26",NA,NA,0,0,"Alabama",95,4858979,"Southern Appalachia",1
"178",178,"AL","2020-02-27",NA,NA,0,0,"Alabama",95,4858979,"Southern Appalachia",1
"179",179,"AL","2020-02-28",NA,NA,0,0,"Alabama",95,4858979,"Southern Appalachia",1
"180",180,"AL","2020-02-29",NA,NA,0,0,"Alabama",95,4858979,"Southern Appalachia",1
"181",181,"AL","2020-03-01",NA,NA,0,0,"Alabama",95,4858979,"Southern Appalachia",1
"182",182,"AL","2020-03-02",NA,NA,0,0,"Alabama",95,4858979,"Southern Appalachia",1
"183",183,"AL","2020-03-03",NA,NA,0,0,"Alabama",95,4858979,"Southern Appalachia",1
"184",184,"AL","2020-03-04",NA,NA,0,0,"Alabama",95,4858979,"Southern Appalachia",1
"185",185,"AL","2020-03-05",NA,NA,0,0,"Alabama",95,4858979,"Southern Appalachia",1
"186",186,"AL","2020-03-06",NA,NA,0,0,"Alabama",95,4858979,"Southern Appalachia",1
